id,question,answer,Departement
250,Are there other branches for Vision Rehabilitation Center (VRC)?,No,Vision Rehabilitation Center (VRC); Answer
251,How can I arrange an appointment at the Vision Rehabilitation Center (VRC) as a person with low vision?,"1-Contact the vision rehabilitation center at phone number 00962 6 4294489 or 00962 6 4294492 or 00962 6 4294490 .
2-The VRC team will check via phone that the person is a low vision, and explain to him/her the rehabilitation services offered at VRC and make sure to meet his/her expectations.
3-The contact information of the person with low vision is taken to arrange for an appointment according to the upcoming clinic dates.
4-The service user needs to bring a report with the medical diagnosis from his/her ophthalmologist, and bring any old visual assistive devices whether its is used or not.",Vision Rehabilitation Center (VRC); Answer
252,What kind of services do you offer at the Vision Rehabilitation Center (VRC)?,"1-Assessment of needs and functional problems for person with low vision.
2-Assessment of visual functions which includes; far visual acuity, near visual acuity, reading acuity, contrast sensitivity, visual field and color vision.
3-Determining the needed assistive devices according to each service user needs.
4-Training on the use of assistive devices and visual skills.
5-Recommendations concerning the needed environmental adaptations.",Vision Rehabilitation Center (VRC); Answer
253,How much time does it take to conduct vision assessment and rehabilitation process?,On average it will take around two hours for each service user.,Vision Rehabilitation Center (VRC); Answer
254,How much does it cost to conduct functional assessment?,"Since VRC is a non-profit center, the children under 18 years old pay 10.00 JD, and the adults over 18 years old pay 20.00 JD.",Vision Rehabilitation Center (VRC); Answer
255,When was the center established?,"The German Jordanian University in cooperation with Hikmat Road Safety has established the Road Safety Center of Excellence in 2008. Our main activities revolve around Education, Engineering, and Enforcement.",Road Safety Center of Excellence (RSCE); Answer
256,What are the tasks of the center?,"RSCE is on a journey to significantly reduce the number of traffic accidents in relation to the transportation of passengers and goods. It supports people, vehicles, and infrastructure",Road Safety Center of Excellence (RSCE); Answer
257,What are the goals of the center?,"The center aims to offer all the services to the local, regional, and international communities involved in road safety whereby the center shall take on the following duties and tasks:

A- Preparing all the statistics pertaining to road accidents endured by the university’s students and staff within the university’s premises, including the university’s campus in Madaba, Dart Othman Bdeir, the Graduate School of Business Administration, and Consultation and Training Center. Furthermore, to work on finding solutions and suggestions to minimize these accidents in addition to establishing a database of statistics regarding local, regional, and international accidents while comparing them.

B- Following up and improving student and staff transportation to the university and encouraging them to use the university transportation network in coordination with the services department.

C- Offering education for those working in the field of road safety at the university through training courses, workshops, and training diplomas in addition to holding regional and international scientific conferences.

D- Preparing and executing awareness campaigns for all road users to minimize road traffics and integrate university students in designing campaigns, executing them, and evaluating their results.",Road Safety Center of Excellence (RSCE); Answer
258,Who are the members of the Council of Excellence for Traffic Safety?,"Center Director as a member and Treasurer.

Four members of the university staff are related to the work of the center. Three with experience in the center's work magazines from the Greater Municipality, the Traffic Department, the Jordanian Traffic Institute, and the Ministry of Transport",Road Safety Center of Excellence (RSCE); Answer
259,What is the center's mission?,"To be recognized as a major hub for road traffic safety that engages in cutting-edge multi-disciplinary research disseminates knowledge, and promotes safer mobility in the Middle East and North Africa (MENA).",Road Safety Center of Excellence (RSCE); Answer
260,What are the values of the center?,"Dedication
Excellence
Quality
Innovation
Commitment
Collaboration
Sharing of knowledge",Road Safety Center of Excellence (RSCE); Answer
261,What is the vision of the center?,Innovate through dedication to create a new safety paradigm in the context of sustainable mobility and development,Road Safety Center of Excellence (RSCE); Answer
262,Where is the Road Safety Center of Excellence (RSCE) located?,"Jabal Amman, Mua’th Bin Jabal Street, Darat Othman Bdeir.",Road Safety Center of Excellence (RSCE); Answer
263,هل هناك أية فروع أخرى لمركز التميز للسلامة المرورية؟,لا يوجد أية فروع أخرى.,Road Safety Center of Excellence (RSCE); Answer
264,What is the importance of the university proficiency test?,"Required  for graduation
Required for the Civil Service Bureau
Required for the Jordanian Engineers Syndicate",Accreditation and Quality Assurance Department (AQAD); Answer
265,When the deadline for submitting accreditation applications?,After obtaining the approval for creation a new major from the Ministry of Higher Education,Accreditation and Quality Assurance Department (AQAD); Answer
266,When do we need to raise the academic programs capacity ?,After exceeding the prescribed capacity by the accreditation commission,Accreditation and Quality Assurance Department (AQAD); Answer
267,when the deadline for submitting to QS ranking?,"Depends on QS type

QS Arab 4 Feb
QS World 4 Feb
QS Employ-ability 25 March
QS Employer/ Academic 4 Feb
QS ESG 28 March",Accreditation and Quality Assurance Department (AQAD); Answer
268,When the deadline for submitting the applications for the creation of new academic programs to the Ministry of Higher Education and Scientific Research?,The requests are submittion start from the beginning of January to the end of February.,Accreditation and Quality Assurance Department (AQAD); Answer
269,When the university proficiency test?,By the end of first and second semester of each academic year,Accreditation and Quality Assurance Department (AQAD); Answer
270,How many times a student can take the university proficiency test?,Once only,Accreditation and Quality Assurance Department (AQAD); Answer
271,How many machines/devices can I run this subscription on?,Each subscription license allows you to run Office on up to five machines being Mac or PC. You can also run Office Mobile for Android or Office Mobile for iPhone on up to 5 mobile devices.,Office 365 for GJU; Answer
272,Is this a full version Office?,"Yes, this is full Office on the PC, Mac, iPhone/iPod Touch, and Android platform and all are available for offline use.",Office 365 for GJU; Answer
273,How long will the free subscription of Office 365 ProPlus last for?,You will be licensed As long as you are an active member of GJU because the license is linked to your GJU email account.,Office 365 for GJU; Answer
274,Could there be issues using Office 2016 ProPlus and Office 2013 / 2010 /2007 documents?,"To open a Microsoft Word 2013 .docx or .docm file in Word 2010 or 2007, you don’t need to do anything extra. Just open the file. For previous versions of Office, you can view Microsoft's compatibility webpage.",Office 365 for GJU; Answer
275,How can I activate Office 365 ProPlus?,Just sign-in with your GJU email account.,Office 365 for GJU; Answer
276,Some links may not be active immediately after first login to Office 365,"This is because the service is still provisioning your account and some resources are not ready to use. When provisioning is complete, the color of these links will change to blue, and they will be able to be used. If these links are still inactive after 12 hours, contact GJU computer center for further support.",Office 365 for GJU; Answer
277,I’m having Outlook Web Access connection problems.,"Method 1:
Sign out and then in to the GJU O365 portal
Method 2:
Sign out of all Microsoft online services
Go to https://login.microsoftonline.com/logout , and then sign out (if you aren't already signed out).
Method 3:
Open GJU O365 portal Private, InPrivate, Incognito window using Mozilla Firefox, Microsoft Edge, Google Chrome respectivly
Method 4:
Clear Cookies from the browser",Office 365 for GJU; Answer
278,"كيف يمكنني إعداد جهازي المحمول ليعمل مع Office 365؟
","يمكن العثور هنا على معلومات حول إعداد الأجهزة المحمولة:
Android:Outlook mobile app or Built-in mail app
iOS: Outlook mobile app or Built-in mail app
Windows: Windows Phone or Windows 10 mobile
",Office 365 for GJU; Answer
279,Is my email address the same as it was before the move to O365?,You will keep your existing email address and password.,Office 365 for GJU; Answer
280,Will the connection between my computer and the Cloud server be secure?,"Yes. The email connection types all support SSL encryption to secure your connection, and the web mail client users https to secure your connection.",Office 365 for GJU; Answer
281,How can I obtain maintenance when I require it?,By using maintenance request – ticket from maintenance webpage,Maintenance Department(MD); Answer
282,Where can I find the maintenance department?,"Our department is located in the main campus

click to see the department location https://www.gju.edu.jo/sites/default/files/Maintenance%20Department/Staff/picture1.png",Maintenance Department(MD); Answer
283,What services does the maintenance department provide?,"Electrical works, mechanical works for water, heating and cooling systems, carpentry, blacksmithing, painting, tiles, aluminum...etc.",Maintenance Department(MD); Answer
284,How can I obtain maintenance when I require it?,By using the maintenance request ticket from the maintenance webpage,Maintenance Department(MD); Answer
285,Who do I contact to follow up on maintenance requests?,"1- The concerned head of the section
 
2- Assistant Director
 
3- The director of the department",Maintenance Department(MD); Answer
286,What is the mechanism for reporting an emergency maintenance problem?,"1. Contact the maintenance department's call center directly.
2. Contacting the concerned head of the division.
3. Contacting the Assistant Director
4. Contacting the director of the department",Maintenance Department(MD); Answer
287,Can I request specific maintenance services?,Yes you can.,Maintenance Department(MD); Answer
288,How long does it take for maintenance requests to be completed?,It depends on the nature of the work and how difficult it is.,Maintenance Department(MD); Answer
289,Who do I contact with feedback or suggestions?,"1- The concerned head of the section.
2- Assistant Director.
3- The director of the department.",Maintenance Department(MD); Answer
290,Where can I find current course lists?,"Thus, the course lists getting upgraded each semester, there might be some deviations to the lists 
you received in advance. Therefore from time to time the Learning Agreements have to be adjusted 
during the registration period. To avoid any kind of frustration and dissatisfaction, GJU always does 
its best to offer you all the courses, which are requested, or to provide you with adequate alternative 
courses. ",Exchange Semester; Answer
291,Whom can I contact for detailed information concerning the offered courses?,"The courses at GJU are offered by different schools/departments. On the course lists you will find the 
name of the instructors, which you can contact for more detailed information. In case there is no 
response you should contact the administration staff of the responsible school (You find their 
contacts on the official website of their school). The abbreviation N.A. (not applicable) means that no 
lecturer has been assigned to the specific course yet. Please note that the IO is not able to provide 
detailed information of each course at GJU. ",Exchange Semester; Answer
292,Is it possible to make changes to the Learning Agreement?,Our experiences have shown that changes to the Learning Agreements are done quite frequently. Almost every time the adjustments were to the satisfaction of the students and fulfilled the requirements of the sending universities as well.,Exchange Semester; Answer
293,Do I have to apply a visa for Jordan in advance?,"and Canadian Citizenship holders do not have to apply for a visa in advance. You can purchase a one
month visa at the airport for the current price of 40 JOD or in combination with the Jordan Pass free. 
Students from other nationalities need to contact the Jordanian Embassy at their place of stay.  ",Exchange Semester; Answer
294,What is the ‘Jordan Pass’? In which cases it is useful to get one.,"The Jordan Pass is a package especially designed for tourists in Jordan to enable them visiting top 
sights and attractions while saving time, money and efforts. But  
please note, that the Jordan Pass is only valuable during the first month of your stay. For that reason 
we recommend the Jordan Pass for Arabic summer course students only. For more information, 
please visit this website: https://www.jordanpass.jo/Contents/What_is_Jordan_Pass.aspx  ",Exchange Semester; Answer
295,Does the GJU offers a health insurance for Incoming students?,"The German Jordanian University offers all incoming students an obligatory health insurance, that enables you to get medical care on campus. In an urgent case you will also get medical care at a hospital. We recommend to all incoming students to take out an additional international health insurance.",Exchange Semester; Answer
296,How can I reach the GJU Campus the best way?,There are GJU Busses and public transportation options (buses) available,Exchange Semester; Answer
297,Is it possible to visit neighboring countries during my stay in Jordan?,"Jordan is located in a region of enormous cultural and religious richness. Nevertheless, the events in 
the neighboring countries should be considered. Most of the students using their stay in Jordan to 
visit Israel/Palestine. Crossing the border is possible, but will probably take some time.  There are 
two main border crossings, which can be easily reached from Amman. You do not need to request a 
visa in advance. There is also no need for a second passport. 
The International Office is not able to state every visa requirements of all neighboring countries, 
since it often depends on personal issues (i.e. nationality) or the country specific regularities (i.e. 
religion, security). Please contact the respective national foreign ministry or the Auswärtige Amt for 
information: 
https://www.auswaertiges-amt.de/de",Exchange Semester; Answer
298,Is there a certain kind of dress code in Jordan?,"Women should avoid showing their shoulders or wearing shorts/skirts that are not covering the knees. For men shorts are also something unusual and in the Islamic context not accepted. Yet the kind of clothing depends on the area, a Western-orientated dress style is quite normal and can be found in the modern areas of Amman and also on the Campus of GJU.",Exchange Semester; Answer
299,Can I live with a host family instead of renting a flat or sharing one?,"Yes, it is possible to find a host family and live with it. It is actually the best possibility to learn the 
language and to gain a deep and profound insight in the daily life of Jordanian families. The contact 
to the families must be made personally and will not be guaranteed from the IO, yet the IO organized 
a Facebook group for host families and students who want to experience life with families. Please 
contact: Rakan.Aldweiri@gju.edu.jo  or Fadi.Altwal@gju.edu.jo to gain entrance in the closed group. ",Exchange Semester; Answer
300,What are the language requirements? / Which language certificates do we need?,The language of instruction at GJU is English (B1-B2 required). For the ALC Program an Arabic of B1- B2 is required.,Exchange Semester; Answer
301,What activities could be done in Madaba?,"The area around and in Madaba offers a lot of touristic attractions, nature sides and well-priced 
shopping facilities. Outstanding sights are the Dead Sea (by car around 45 minutes from Madaba), 
the Jabal Nebo (already mentioned in the Bible, offering a view till Israel/Palestine, around 15 min 
from Madaba), the Church of the Map (St. George’s Church Mabada, containing the oldest map of 
the Levantine in the world). Natural sights, which are close to Madaba, are Wadi al Hidan, Wadi Jadid 
so on. Please check also on and 
https://www.tripadvisor.com/ShowForum-g293985-i2131-Jordan.htmll  ",Exchange Semester; Answer
302,What are the prerequisites for students in MBA courses GJU?,If you want to take courses from the MBA program at the Graduate School of Business you must be enrolled as MA student at your home university.,Exchange Semester; Answer
303,What are the prerequisites for students at the Social Work Master program at GJU ?,You need to be a MA student in Social Work or related fields at your home university.,Exchange Semester; Answer
304,MY MAJOR IS NOT LISTED. WHAT SHALL I DO?,"You can search for suitable courses, if you find enough courses (more than 18 ECTS), you can discuss the options with your exchange coordinator from your school and send an email to scholarship.coordinator@gju.edu.jo informing the scholarship coordinator about suitable options. Afterwards you can submit your application.",ERASMUS + ; Question
305,WHAT DOES ECTS MEAN?," European Credit Transfer and Accumulation System
 1 Credit Hour (GJU) usually equals 1,5 ECTS.",ERASMUS + ; Question
306,WHAT DOES THE SCHOLARSHIP COVER?," -Travel lump sum (depending on the host university)
 -A monthly grant (depending on the host university)
 -You can find the details on the list of partner Universities
 -It is up to the scholarship holder for which purposes he/she uses the monthly grant",ERASMUS + ; Question
307,WHAT DOES THE SCHOLARSHIP NOT COVER?,"-Visa fees (for German-visas: Provide a letter from your  host university stating that you are an ERASMUS scholarship holder and you receive a visa fee exemption)
-Health insurance
-Housing",ERASMUS + ; Question
308,I DON´T HAVE THE REQUIRED LANGUAGE CERTIFICATE? CAN I STILL APPLY?,The language level indicated on the partner universities’ list is an asset. You can apply without the required language level. We recommend to leave a comment at the end of the application indicating when you are planning your next B1 or B2 exam.,ERASMUS + ; Question
309,WHAT HAPPENS AFTER I SUBMITTED MY APPLICATION?,"-Your application will be screened regarding the criteria mentioned on our homepage.
-In case we unfortunately can´t invite you, you will receive a rejection letter.",ERASMUS + ; Question
310,WHAT DO I HAVE TO PREPARE FOR THE ASSESSMENT CENTER?,"-Make sure you know why you applied for the program
-This is an official meeting, please dress accordingly
-BE on time",ERASMUS + ; Question
311,HOW LONG DOES THE ASSESSMENT CENTER TAKE?,One hour,ERASMUS + ; Question
312,"I HAVE ALREADY RECEIVED AN ERASMUS+ SCHOLARSHIP, CAN I APPLY?",YES,ERASMUS + ; Question
313,"I RECEIVE A JORDANIAN SCHOLARSHIP, CAN I APPLY?",YES,ERASMUS + ; Question
314,"I RECEIVE A DAAD SCHOLARSHIP AT THE SAME TIME, CAN I APPLY?",NO,ERASMUS + ; Question
315,I AM A MASTER STUDENT. CAN I APPLY?,University of Bologna offers seats for M.A. Social Work students.,ERASMUS + ; Question
316,WHAT WILL HAPPEN AFTER I ACCEPTED THE SCHOLARSHIP?,"-The International Affairs Department nominates you at the host
 University. If you are accepted, you will have to officially apply at
 the host University. Make sure you read carefully through the
 information provided from the host University and don´t miss the
 deadline.
 -The acceptance of the Erasmus+ scholarship is binding. In case the
 student has to cancel the nomination for serious reasons proof
 needs to be give and s/he must sign a declaration of cancelation.",ERASMUS + ; Question
317,WHAT DO I HAVE TO PREPARE?,"Contact your exchange coordinator of your school and prepare your ERASMUS+ Learning Agreement (for German seats: please take into consideration that you have to fill out two different Learning Agreements, one ERASMUS+ and one for MYGJU).",ERASMUS + ; Question
318,WHOM SHALL I CONTACT FOR ACCOMMODATION IN MY HOST COUNTRY?,Please look for housing options on the website of your host University or ask at the International Office of your host University. Usually they provide good guidance for housing. Please be aware of scams!,ERASMUS + ; Question
319,WHAT IS A GRANT AGREEMENT?,"The grant agreement is the financial declaration which details the duration of your mobility period, the funding and payment plan. Please read the document carefully and fill in the missing information. Please bring the original signed document to your host University.",ERASMUS + ; Question
320,WILL I BE ENROLLED AT GJU DURING MY ERASMUS+ SEMESTER?,"You can postpone your semester at GJU, but you need to stay enrolled. Please bring a proof of enrolment to your host University.",ERASMUS + ; Question
321,HOW CAN I RECEIVE THE ERASMUS+ MONEY?,"-Bank details: Upon your arrival, we kindly ask you to 
open a bank account with a local bank to which the 
Erasmus+ funds shall be transferred. To open a 
bank account, you have to bring your Jordanian
 tax number.
 -Having received all documents, the host University will transfer
 80% of the scholarship to your bank account.
 -30 days before the end of your semester, you will 
receive an invitation to an online EU survey. Havin
 submitted this EU survey, you will receive the 
outstanding balance.",ERASMUS + ; Question
322,"WHAT SHALL I DO, WHEN I WANT TO CHANGE COURSES?","If you change your courses, these changes have to be documented in the Learning Agreement (section: during the mobility).",ERASMUS + ; Question
323,AFTER MOBILITY," Around four weeks after the examination period, the host
 University will issue a Transcript of Record and send it to you
 and GJU. With this Transcript of Records and the Learning
 Agreement, you can request the recognition of the earned
 credits for your studies at the GJU. Please contact your
 International Office about the respective procedure.
 Additionally, you have to send a report about your Erasmus+
 experience to scholarship.coordinator@gju.edu.jo .",ERASMUS + ; Question
324,"If I failed a teil in Daf, what are my options?","If you are a B1 Track Student and have passed German 5 then you can only register for an intensive german course and will have to repeat the failed teil DURING the registered course period.             -If you are a B2 Track Student and have passed German 5 then you can repeat the failed teil before registering for German 6 B2 Track course, or you can switch to B1 Track and have the same option as mentioned above.     -If you have failed German 5 then you have to repeat the course ",Genreal
325,What is the name of the University's first degree?,Bachelor,Genreal
326,How are the Undergraduate Degrees (Bachelor) and Certificates awarded?,Undergraduate Degrees (Bachelor) and Certificates shall be awarded based on a decision of the Council based on the recommendation of the concerned School,Genreal
327,How are the Second degree (Masters) and third degree (PhD) and Certificates awarded?,Honorary Degrees shall be awarded based on a decision of the Council with the recommendation of the President of the University.,Genreal
328,How are the Honorary Degrees awarded?,"Honorary Degrees shall be awarded based on a decision of the Council with the recommendation of the President of the University, Second degree (Masters) and third degree (PhD) and Certificates shall be awarded based on a decision of the council upon the recommendation of the Graduate Studies Council and the recommendation of the School Council",Genreal
329,How many credit hours to be successfully passed in order to be awarded a bachelor's degree?,The Study Plan stipulates the number of credit hours to be successfully passed in order to be awarded a bachelor degree,Genreal
330,How many credit hours each course holds?,"Each course carries three credit hours, practical courses hold usually 1 CH, English Courses 2 CH.",Genreal
331,How are the credit hours for the course calculated?,Credit hours for each course in the study plan are assessed as follows: The Major Credit Hour Price (check mygju>financial affairs>account) x How many credited hours you are planning to register.,Genreal
332,How is the standard period for study is determined?,The standard period for study is determined for each study plan based on the anticipated students workload in courses,Genreal
333,How can the student know which courses to register each semester?,Each Department prepares a Study Plan Guide for each major proposing the courses the student should register for each semester and is handed to him upon joining the University. You can also find your study plan on google '*your major* study plan *year you have started* GJU' Each Department prepares a course portfolio for each course offered in the Study Plan.,Genreal
334,What is the context of each course within a study plan?,Each course within any study plan is classified into four or five levels representing the years of study (depending on the school) and is organized in an ascending order,Genreal
335,What is shown in the study plan regarding courses?,Prerequisites or co -requisites.,Genreal
336,Do all students sit for placement tests?,All students are to sit for English and Arabic placement tests once only at the time of admission at the university the results of these tests determine whether students have to register English99 Arabic99 as pre-courses (university requirements) respectively the language level in which the student should register in higher English courses according to specific measures determined by the responsible department.,Genreal
337,Who sits for a Math placement test?,Students of majors which require Math101 in their study plans are to sit for a math placement test once only at the time of admission at the university; the result of this test determines whether the students have to register Math99 as pre -course (program requirement) or calculus 1 directly.,Genreal
338,What happens if a student fails the placement tests?,"If students fail any of the placement tests, they must register the corresponding pre-course in their first semester.",Genreal
339,What happens if a student fails the pre-course?,"If students fail the pre-course,they must repeat it in the following semester they are registering for. pre-courses will be prerequisites to register for all second-year courses (200 -level courses) according to their study plans. Students will not be allowed to take courses and pre-courses which are their prerequisites in the same time",Genreal
340,What is the maximum duration of study for the Bachelor's?,The maximum duration of study for the Bachelor´s is eight years for Engineering majors and the Design and Visual Communication and seven years for all other majors offered at the German Jordanian University.,Genreal
341,How is the duration of study calcualated if the student changed his/her major or withdrawn and restored at GJU?,"In order to calculate the study duration for a student who withdrew from the university and restored or the student who has changed his/her major, one semester is deducted from the maximum number of graduation years for every (15) credit hours counted for the student from the study plan of his/her new major.",Genreal
342,Is the summer semester optional?,Yes the summer semester is optional and not compulsory,Genreal
343,How is the academic year divided ?,"The academic year is divided into two compulsory academic semesters, the first/fall semester",Genreal
344,What is the duration of each semester?,The duration of each semester is sixteen weeks,Genreal
345,What are the compulsory academic semesters?,"The first/fall semester, and second/spring semester.",Genreal
346, How are students classified as second year or third year or fourth year or fifth year students?,Students are classified as second year or third year or fourth year or fifth year students if they successfully studied (35) or (70) or (105) or (140) credit hours of their study plans consecutively.,Genreal
347,What is the minimum number of credit hours that a student at a bachelor's level should register for during the first/fall and second/spring?,"(12) credit hours. the student's study load may be less than the minimum specified load in the following cases: 1. In the semester he/she is expected to graduate. 2. In justified cases and with the approval of the concerned dean, provided that the study load is not less than (9) nine credit hours. 3. In justified cases and with the approval of the president if the study load is less than nine hours.",Genreal
348,What is the maximum number of credit hours that a student at a bachelor's level should register for during the first/fall and second/spring?,(18) credit hours without german. (21) credit hours with german. you might register for more credit hours without german but you need the approval of your dean.,Genreal
349,What is the maximum number of credit hours that a student at a bachelor's level should register for during the summer semester?,"10) credit hours. the maximum number of credit hours registered by the student may exceed two credit hours in the summer semester except for the first semester of the first year,if his grade is very good or more",Genreal
350,Is attendance compulsory in courses?,Attendance is compulsory by all students in all registered for courses whether theoretical or practical. ,Genreal
351,How many courses can a stundet be absent for?,"A student is not permitted to be absent from more than 15% of the total number of credit hours assigned for each course (i.e. six lectures for a course that is being taught three times a week with a duration of one hour per lecture; four for a course that is being taught two times a week with a duration of one and a half hours per lecture,and two lectures for a course that is being taught once a week).",Genreal
352,What is the term for a student who is absent for more than 15% of the total number of credit hours assigned to a course?,"If a student is absent for more than 15% of the total number of credit hours assigned to any course, without submitting evidence that his absence was due to heath or other compelling reasons acceptable by the Dean of the respective School, the instructor has the right to deprive the student.",Genreal
353,How is the course content included?,"The course instructor is to prepare a detailed study plan in relation to the course he is teaching that includes the course goals and objectives, course learning outcomes.",Genreal
354,What is the final grade for each course?,"The students final grade for each course consists of grades assigned for course work during the semester, plus the final exam grades. The final grade is to be recorded out of 100 (without fractions). Except courses that require the assignment of Pass or Fail grades only.",Genreal
355,How much of the total grade for a course is assigned for the final exam?,40%,Genreal
356,How is the final exam to be ?,"The final exam is to be comprehensive and in writing. However, part of the final exam may be oral with a maximum of 10% of the grade, depends on the course and the instructor.",Genreal
357,What percentage of the total grade for a course is assigned for course work?,"Sixty per cent of the total grade for a course is assigned for course work which includes at least one mid-term exam to be conducted during the eighth or ninth week of the semester, and during the fourth week of the summer semester",Genreal
358,How many midterm exams are required to be conducted?,"Sixty per cent of the total grade for a course is assigned for course work which includes at least one mid -term exam to be conducted during the eighth or ninth week of the semester ,and during the fourth week of the summer semester",Genreal
359,When students shall be informed about their total from 60%?,Students should be informed about the total grade out of sixty per cent for the semester course work before the due date of the final exam.,Genreal
360,When can the student ask for a revision of his final exam?,Student may ask for the revision of his grade in the final exam of any course within two weeks after the last day of final exams. ,Genreal
361,How long does a student have to wait for the revision of his grade in the final exam?,One week,Genreal
362,How can the student ask for a revision of his final exam?,The student has to pay a non-refundable fee of (5) JD for each grade revision application C. The student is to attach the receipt to the grade revision form he submits submitted to the dean concerned with the revision of the final exam mark.,Genreal
363,What is the procedure of remark?,"Student has to apply to the dean of the school where the course is offered, and accordingly the dean should form a committee from the academic staff for the major.",Genreal
364,What is the answer to a student who is absent from a semester exam?,A student who is absent s from a semester exam should submit a valid excuse to the instructor of the course within three days from the date that the excuse has ended. If the excuse is accepted the instructor then is to proceed with necessary arrangements for a make -up exam for the student. B. A student who is absents himself from the final an announced exam of a course will get to take an (I= (Incomplete) grade for that course.;,Genreal
365, What should a student who is absent from a semester exam do?,A student who is absent s from a semester exam should submit a valid excuse to the instructor of the course within three days from the date that the excuse has ended. If the excuse is accepted the instructor then is to proceed with necessary arrangements for a make -up exam for the student. B. A student who is absents himself from the final an announced exam of a course will get to take an (I= (Incomplete) grade for that course.,Genreal
366,What is the minimum passing grade of a course?,50%,Genreal
367,What is the minimum grade assigned to a course?,35% (which is the university zero),Genreal
368,What is the value of grades of any course?,The semester and cumulative averages are given the following values: Grade out of 100 Merit - 84% - 100% Excellent 76% to less than 84% Very good - 68% to less than 76% Good 60% to less than 68% Satisfactory;,Genreal
369,What does the semester average consist of?,The passing or failing grades obtained by the student for all the courses he registered for during that semester,Genreal
370,What is the cumulative average?,The cumulative average consists of the passing or failing grades obtained by the student for all the courses he registered for until the time of calculation taking into consideration the provisions of these regulations,Genreal
371,How are the semester and cumulative averages calculated?,The semester and the cumulative averages are calculated by multiplying the obtained grade in each course by the number of credit hours assigned,Genreal
372,When does a student have to be placed on academic probation?,"A student is to be placed on academic probation if his GPA in any semester is less than 60% with the exception of the very first semester he joins the University, or the very first semester he transfers to a new major. ",Genreal
373,What shall the student do after receiving an academic probation?,The student is expected to rectify the matter two academic semesters after the semester during which he was placed on probation. The summer semester is not considered an academic semester when it comes to placing students on probation or dismissing them from the University or the major. ,Genreal
374,When can the student be dimissed from his/her major?,"A student who fails to remove himself from the probation during the time limit specified, students have 3 probation warnings, afterwards his major credit hour price is doubled, if the student still gets less than 60% he should transfer major or university. ",Genreal
375,What can the dismissed student do?,"The student who has been dismissed from his major, under paragraph (A) of this article section is allowed to transfer",Genreal
376,What can the student do if he/she failed a compulsory course?,"The student is obliged to repeat any compulsory course which he failed. In this case only the newly obtained grade he obtained in the repeated course will be calculated in computed within his GPA, while the previously obtained grade will be taken out",Genreal
377,What can the student do if he/she failed an elective course?,"The student who fails in an elective course may repeat the same course or opt for another course in accordance with his study plan and in this case the newly obtained grade will be calculated in his GPA while the previously obtained grade will be taken out of his GPA, while it is still kept in his transcript. ",Genreal
378, Whan can the student register the course and its prerequisite in the same semester?,It is not permitted for a student to register for a course and its prerequisite in the same semester if he/she had registered for the prerequisite before but failed or if the student is  is a graduate in that semester. It is dependent on that courses unless he/she has obtained the approval of the school. ,Genreal
379,What is the maximum and minimum number limit of registered students in a course?,"The maximum and minimum number limit of registered students in some courses, depends on the hall the course is assigned to.",Genreal
380, When can the student withdraw from a course he registered for?,"The student may drop and add a courses during the drop and add period stipulated by the Department of Admissions and Registrations department each semester ,which should does not exceed the first week of the first and second commencement of the fall semesters and the Second/ spring semester",Genreal
381,Can a new freshman student postpone his/her studies?,A new freshman student or newly transferred to the University student is not eligible to postpone his study unless he has spent one academic semester,Genreal
382,How many academic semesters is the student allowed to postpone his study at the University?,"The student is allowed to postpone his study for no more than four academic semesters be they consecutive or intermittent. He/she can postpone for a period of (6) semesters if he/she is enrolled in a training programs internships that are correspondent to his/her studies provided that the student had obtained a previous approval from the concerned responsible dean ,regarding the training programs he/she is going to enroll in.",Genreal
383,How can the student postpone his study at the University?,"The student is to notify the Dean of his respective School through the head of his department of his intention to postpone his studies ,during a period that does not exceed 7 days from the commencement of the fall or spring/ first or second semesters. The Dean is expected to communicate his decision to the Director of the Department of Admissions and Registration department",Genreal
384,What happens if the student didn't submit his postponement request within the time limit?,"If for un foreseen and urgent cases the student fails to submit his petition within the time limit specified in paragraph (A) of this article section ,the Dean of the respective School is entitled to examine the matter with view to making take an appropriate decision and informing all the concerned parties duly and accordingly. ",Genreal
385, How can the student lose his seat at University?,"If a student does not complete his registration as a regular student for one academic semester and did not also if he/she fails to obtain the written approval of the concerned Dean to postpone his study ,then he will lose his right to a seat at the University. ",Genreal
386,Who has the right to reinstate students' lost seat?,"The University President is authorized to reinstate any student who lost his/her regain the seat to any student who has lost this right due to unforeseen circumstances/absence. In this case ,the period of disruption from study is to be considered as postponement.;",Genreal
387,Can the student reapply to the University?,"The student can reapply to the university, and if in case he/she is accepted in the same major department then his/her academic record will be is kept. If the student is accepted in another major department in the university then the provisions instructions mentioned in article (35) of these instructions will be applied. ",Genreal
388,How can the student withdraw from the University?,"If the student wishes to withdraw from the University then he/she must apply on the designated withdrawal form and submit it to the Admission and Registration department. In this case, a note stating withdraw from the university is fixed to his/her file. The director of the Admission and Registration department is to notify the concerned related parties in the University and outside. If the student wishes to enroll again in the University then he/she must submit a new application form.",Genreal
389,Can the student transfer from other University to GJU?,"A Student is allowed to transfer from other universities to GJU provided that there is available vacancy for him in the program he opts for, provided that he fulfills the following conditions: The student fulfills all requirements for admission to the University. The student is transferring from an accredited university or university college or institute that offers the Bachelor degree or from an accredited Community College and is recognized by the Jordanian Ministry of Higher Education and Scientific Research.",Genreal
